Message ID,Message Type,Sender Display Name,Sender Email / Handle,Subject,Message Body,URLs Included,Attachment Name,Expected Threat Category,Expected Risk Level,Expected Signals,Notes
MSG-001,Email,Microsoft Security,security-alert@example.com,Fake Microsoft password reset,Your Microsoft account will be suspended within 24 hours. Verify your password now at http://microsoft-security-alert-login.example.com/reset,http://microsoft-security-alert-login.example.com/reset,,Credential phishing,Critical,Urgency; Credential request; Suspicious link; Brand impersonation,Synthetic demo
MSG-002,Email,Payroll Team,payroll@example.net,Fake payroll update,We need you to update your direct deposit immediately using this secure payroll form.,http://payroll-update-login.example.net,,Payroll scam,High,Urgency; Payroll; Suspicious link,Synthetic demo
MSG-003,Email,Vendor Billing,billing@example.org,Fake invoice scam,Please review the urgent invoice attached and send payment today.,,invoice.pdf.exe,Malware delivery attempt,Critical,Urgency; Invoice; Double extension,Synthetic demo
MSG-004,Chat / DM,CEO,ceo.fake@example.com,Fake gift card request,Are you available? I need a quick favor. Buy gift cards and keep this between us.,,,Gift card scam,High,Gift card; Social engineering,Synthetic demo
MSG-005,Text message,IT Helpdesk,it-help@example.com,Fake MFA code theft,Your account is locked. Reply with your one-time code so we can verify you.,,,MFA code theft,Critical,MFA code request; Account threat,Synthetic demo
MSG-006,Email,Recruiting Team,jobs@example.com,Fake job offer scam,You were selected for a remote job. No experience needed. Sign in to claim the offer at http://jobs-verify.example.com,http://jobs-verify.example.com,,Fake job scam,High,Offer; Suspicious link,Synthetic demo
MSG-007,Text message,Package Updates,delivery@example.net,Fake package delivery scam,Your package delivery failed. Update billing and address here: http://package-update.example.net,http://package-update.example.net,,Package delivery scam,High,Package; Payment; Link,Synthetic demo
MSG-008,Email,Example Sender,sender8@example.com,Synthetic suspicious message 8,This is a fictional training message 8. Please verify account details and review the attached document immediately at http://training-8.example.com/login,http://training-8.example.com/login,,General social engineering,High,Urgency; Credential request; Link,Synthetic filler example
MSG-009,Email,Example Sender,sender9@example.com,Synthetic suspicious message 9,This is a fictional training message 9. Please verify account details and review the attached document immediately at http://training-9.example.com/login,http://training-9.example.com/login,statement.xlsm,Credential phishing,Critical,Urgency; Credential request; Link,Synthetic filler example
MSG-010,Email,Example Sender,sender10@example.com,Synthetic suspicious message 10,This is a fictional training message 10. Please verify account details and review the attached document immediately at http://training-10.example.com/login,http://training-10.example.com/login,,General social engineering,High,Urgency; Credential request; Link,Synthetic filler example
MSG-011,Email,Example Sender,sender11@example.com,Synthetic suspicious message 11,This is a fictional training message 11. Please verify account details and review the attached document immediately at http://training-11.example.com/login,http://training-11.example.com/login,,Credential phishing,High,Urgency; Credential request; Link,Synthetic filler example
MSG-012,Email,Example Sender,sender12@example.com,Synthetic suspicious message 12,This is a fictional training message 12. Please verify account details and review the attached document immediately at http://training-12.example.com/login,http://training-12.example.com/login,statement.xlsm,General social engineering,Critical,Urgency; Credential request; Link,Synthetic filler example
MSG-013,Email,Example Sender,sender13@example.com,Synthetic suspicious message 13,This is a fictional training message 13. Please verify account details and review the attached document immediately at http://training-13.example.com/login,http://training-13.example.com/login,,Credential phishing,High,Urgency; Credential request; Link,Synthetic filler example
MSG-014,Email,Example Sender,sender14@example.com,Synthetic suspicious message 14,This is a fictional training message 14. Please verify account details and review the attached document immediately at http://training-14.example.com/login,http://training-14.example.com/login,,General social engineering,High,Urgency; Credential request; Link,Synthetic filler example
MSG-015,Email,Example Sender,sender15@example.com,Synthetic suspicious message 15,This is a fictional training message 15. Please verify account details and review the attached document immediately at http://training-15.example.com/login,http://training-15.example.com/login,statement.xlsm,Credential phishing,Critical,Urgency; Credential request; Link,Synthetic filler example
MSG-016,Email,Example Sender,sender16@example.com,Synthetic suspicious message 16,This is a fictional training message 16. Please verify account details and review the attached document immediately at http://training-16.example.com/login,http://training-16.example.com/login,,General social engineering,High,Urgency; Credential request; Link,Synthetic filler example
MSG-017,Email,Example Sender,sender17@example.com,Synthetic suspicious message 17,This is a fictional training message 17. Please verify account details and review the attached document immediately at http://training-17.example.com/login,http://training-17.example.com/login,,Credential phishing,High,Urgency; Credential request; Link,Synthetic filler example
MSG-018,Email,Example Sender,sender18@example.com,Synthetic suspicious message 18,This is a fictional training message 18. Please verify account details and review the attached document immediately at http://training-18.example.com/login,http://training-18.example.com/login,statement.xlsm,General social engineering,Critical,Urgency; Credential request; Link,Synthetic filler example
MSG-019,Email,Example Sender,sender19@example.com,Synthetic suspicious message 19,This is a fictional training message 19. Please verify account details and review the attached document immediately at http://training-19.example.com/login,http://training-19.example.com/login,,Credential phishing,High,Urgency; Credential request; Link,Synthetic filler example
MSG-020,Email,Example Sender,sender20@example.com,Synthetic suspicious message 20,This is a fictional training message 20. Please verify account details and review the attached document immediately at http://training-20.example.com/login,http://training-20.example.com/login,,General social engineering,High,Urgency; Credential request; Link,Synthetic filler example
MSG-021,Email,Example Sender,sender21@example.com,Synthetic suspicious message 21,This is a fictional training message 21. Please verify account details and review the attached document immediately at http://training-21.example.com/login,http://training-21.example.com/login,statement.xlsm,Credential phishing,Critical,Urgency; Credential request; Link,Synthetic filler example
MSG-022,Email,Example Sender,sender22@example.com,Synthetic suspicious message 22,This is a fictional training message 22. Please verify account details and review the attached document immediately at http://training-22.example.com/login,http://training-22.example.com/login,,General social engineering,High,Urgency; Credential request; Link,Synthetic filler example
MSG-023,Email,Example Sender,sender23@example.com,Synthetic suspicious message 23,This is a fictional training message 23. Please verify account details and review the attached document immediately at http://training-23.example.com/login,http://training-23.example.com/login,,Credential phishing,High,Urgency; Credential request; Link,Synthetic filler example
MSG-024,Email,Example Sender,sender24@example.com,Synthetic suspicious message 24,This is a fictional training message 24. Please verify account details and review the attached document immediately at http://training-24.example.com/login,http://training-24.example.com/login,statement.xlsm,General social engineering,Critical,Urgency; Credential request; Link,Synthetic filler example
MSG-025,Email,Example Sender,sender25@example.com,Synthetic suspicious message 25,This is a fictional training message 25. Please verify account details and review the attached document immediately at http://training-25.example.com/login,http://training-25.example.com/login,,Credential phishing,High,Urgency; Credential request; Link,Synthetic filler example
